dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.000000,62.263030,44.515272,29.823217,9.991027,0.000000,1.570796
0.010000,40.000000,62.561761,44.814004,29.923127,9.991027,-0.000000,1.570796
0.010000,40.000000,62.861492,45.113735,30.023037,9.991027,0.000000,1.570796
0.010000,40.000000,63.162222,45.414465,30.122947,9.991027,0.000000,1.570796
0.010000,40.000000,63.463951,45.716194,30.222858,9.991027,-0.000000,1.570796
0.010000,40.000000,63.766679,46.018922,30.322768,9.991027,0.000000,1.570796
0.010000,40.000000,64.070407,46.322649,30.422678,9.991027,-0.000000,1.570796
0.010000,40.000000,64.375133,46.627375,30.522589,9.991027,0.000000,1.570796
0.010000,40.000000,64.680858,46.933101,30.622499,9.991027,0.000000,1.570796
0.010000,40.000000,64.987583,47.239825,30.722409,9.991027,0.000000,1.570796
0.010000,40.000000,65.295306,47.547549,30.822319,9.991027,-0.000000,1.570796
0.010000,40.000000,65.604029,47.856272,30.922230,9.991027,0.000000,1.570796
0.010000,40.000000,65.913751,48.165994,31.022140,9.991027,-0.000000,1.570796
0.010000,40.000000,66.224472,48.476714,31.122050,9.991027,0.000000,1.570796
0.010000,40.000000,66.536192,48.788435,31.221960,9.991027,-0.000000,1.570796
0.010000,40.000000,66.848911,49.101154,31.321871,9.991027,0.000000,1.570796
0.010000,40.000000,67.162629,49.414872,31.421781,9.991027,0.000000,1.570796
0.010000,40.000000,67.477347,49.729589,31.521691,9.991027,-0.000000,1.570796
0.010000,40.000000,67.793063,50.045306,31.621602,9.991027,0.000000,1.570796
0.010000,40.000000,68.109779,50.362021,31.721512,9.991027,0.000000,1.570796
0.010000,40.000000,68.427494,50.679736,31.821422,9.991027,-0.000000,1.570796
0.010000,40.000000,68.746207,50.998450,31.921332,9.991027,0.000000,1.570796
0.010000,40.000000,69.065920,51.318163,32.021243,9.991027,-0.000000,1.570796
0.010000,40.000000,69.386632,51.638875,32.121153,9.991027,0.000000,1.570796
0.010000,40.000000,69.708343,51.960586,32.221063,9.991027,0.000000,1.570796
0.010000,40.000000,70.031053,52.283296,32.320973,9.991027,0.000000,1.570796
0.010000,40.000000,70.354763,52.607005,32.420884,9.991027,-0.000000,1.570796
0.010000,40.000000,70.679471,52.931714,32.520794,9.991027,0.000000,1.570796
0.010000,40.000000,71.005179,53.257421,32.620704,9.991027,-0.000000,1.570796
0.010000,40.000000,71.331885,53.584128,32.720615,9.991027,0.000000,1.570796
0.010000,40.000000,71.659591,53.911833,32.820525,9.991027,-0.000000,1.570796
0.010000,40.000000,71.988296,54.240538,32.920435,9.991027,-0.000000,1.570796
0.010000,40.000000,72.318000,54.570242,33.020345,9.991027,0.000000,1.570796
0.010000,40.000000,72.648703,54.900945,33.120256,9.991027,0.000000,1.570796
0.010000,40.000000,72.980405,55.232647,33.220166,9.991027,-0.000000,1.570796
0.010000,40.000000,73.313106,55.565348,33.320076,9.991027,0.000000,1.570796
0.010000,40.000000,73.646806,55.899049,33.419987,9.991027,0.000000,1.570796
0.010000,40.000000,73.981506,56.233748,33.519897,9.991027,0.000000,1.570796
0.010000,40.000000,74.317204,56.569447,33.619807,9.991027,0.000000,1.570796
0.010000,40.000000,74.653902,56.906144,33.719717,9.991027,-0.000000,1.570796
0.010000,40.000000,74.991599,57.243841,33.819628,9.991027,0.000000,1.570796
